Time,1ALTE,1BLTE,1CLTE,2ALTE,3ALTE,3BLTE,3CLTE,4ALTE,4BLTE,4CLTE,5ALTE,5BLTE,5CLTE
2015-11-24 15:00:00.0,124.822774,83.808514,59.388002,2.697399,71.57471,104.44489,46.022394,9.502667,161.930183,77.711257,69.245505,63.916449,72.053565
2015-11-24 15:15:00.0,282.500511,203.214685,101.160069,0.534427,103.289224,70.880747,55.485993,51.0762,154.112725,117.061947,7.556197,167.380839,88.966254
2015-11-24 15:30:00.0,243.438239,177.487513,141.518194,0.183655,193.371556,175.269204,110.66541,14.228781,168.470853,107.735113,20.974219,22.777532,101.350427
2015-11-24 15:45:00.0,251.467534,147.71258,158.444157,0.110775,73.475373,149.610892,130.130853,23.83704,286.679529,78.983056,23.867093,75.998845,226.02708
2015-11-24 16:00:00.0,142.546663,65.599338,88.433903,0.023038,77.701398,51.38164,88.258061,95.653621,211.74059,41.78055,10.960487,142.696699,109.301177
2015-11-24 16:15:00.0,213.087641,35.283633,73.606034,0.344079,88.627757,108.194044,62.246643,9.888335,172.885542,79.40169,13.442951,167.085812,59.542122
2015-11-24 16:30:00.0,144.647254,191.558176,172.413923,0.712126,177.870135,127.487546,55.794337,18.441587,120.277272,32.456641,26.54755,136.520432,264.007385
2015-11-24 16:45:00.0,68.070878,75.41874,113.287842,0.333125,46.310903,99.460504,30.663224,15.875176,238.638573,30.898059,29.076264,118.031226,126.178932
2015-11-24 17:00:00.0,41.382362,80.492606,639.351935,0.093998,44.83755,72.210785,6.380199,40.578638,171.587297,80.061831,45.646762,262.38458,311.263838
2015-11-24 17:15:00.0,129.504677,45.196995,196.195488,0.030095,63.064725,99.443417,34.399267,62.818907,195.473993,87.938279,39.625914,114.558903,396.937434
2015-11-24 17:30:00.0,134.08879,63.479624,633.707571,0.006696,63.350152,269.740438,31.095518,109.063045,108.896667,161.622701,19.944071,77.455732,354.87381
2015-11-24 17:45:00.0,81.851824,49.555711,114.872551,0.08763,95.436752,53.226216,32.468299,41.922865,128.221783,171.67235,140.945735,63.696186,212.971384
2015-11-24 18:00:00.0,45.542714,44.208754,200.10806,0.031913,40.288767,95.308285,44.512781,31.336915,114.815084,357.215124,54.387976,27.477253,44.853477
2015-11-24 18:15:00.0,262.783586,142.704076,123.364281,0.003644,50.660318,77.529387,20.989484,34.683653,453.000338,88.762756,15.825558,144.069863,67.217596
