time [s],line [1],track/ direction [1],loc. (actual) [km],loc. (target) [km],way (actual) [km],way (target) [km],speed (actual) [km/h],speed (target) [km/h],voltage [V],current [A],track-earth voltage [V],energy input [kWh],energy balance [kWh],usable braking energy [kWh],used braking energy [kWh],recuperated braking energy [kWh],energy braking resistor [kWh],state [1],tractive effort (actual) [kN],tractive effort (target) [kN],line and running resistance [kN],acceleration (actual) [m/(s*s)],acceleration (target) [m/(s*s)],desired speed [km/h],train configuration [1],utilization rate [%]
4066,2,2,8.8914165,8.9029999,0.4485833,0.437,11.8999996,11.8999996,778.144165,423.7807617,0.7108258,2.4694829,1.9667397,0.8173948,0.8165131,0.5027434,0.0008817,20,1.1535817,0,-2.8706543,0.0694444,0,11.8999996,2,100
4068,2,2,8.8842497,8.8959999,0.45575,0.444,13.8999996,13.8999996,785.9249268,114.8629303,-0.9737583,2.519635,2.0168917,0.8173948,0.8165131,0.5027434,0.0008817,20,14.2730303,0,-1.8239141,0.2777778,0,13.8999996,2,100
4070,2,2,8.8755836,8.8870001,0.4644167,0.453,17.2999992,17.2999992,783.7302856,205.2691956,-1.3939786,2.6090105,2.106267,0.8173948,0.8165131,0.5027434,0.0008817,20,25.7047234,0,-1.660082,0.4722222,0,17.2999992,2,100
4072,2,2,8.8640556,8.8760004,0.4759444,0.464,24.2000008,24.2000008,772.2393799,497.5153198,-0.4577695,2.8224554,2.3197119,0.8173948,0.8165131,0.5027434,0.0008817,20,53.4601898,0,-2.0742698,0.9583333,0,24.2000008,2,100
4074,2,2,8.8482113,8.8590002,0.4917889,0.481,32.8400002,33.2000008,761.4377441,792.1038818,2.8483968,3.157532,2.6547885,0.8173948,0.8165131,0.5027434,0.0008817,20,64.9047852,0,-4.6340146,1.2,0,33.2000008,2,100
4076,2,2,8.8273668,8.8369999,0.5126333,0.503,41.8400002,46.5,759.5703735,844.1211548,3.8813419,3.5137372,3.0109937,0.8173948,0.8165131,0.5027434,0.0008817,20,60.7175217,0,-8.8212767,1.2,0,46.5,2,100
4078,2,2,8.801033,8.8129997,0.5389667,0.527,48.2999992,48.2999992,788.2630615,164.5837555,4.476109,3.5858123,3.0830691,0.8173948,0.8165131,0.5027434,0.0008817,20,6.6537766,0,-7.8334732,0.25,0,48.2999992,2,100
4080,2,2,8.7741442,8.79,0.5658556,0.55,48.5,48.5,788.9019165,-24.6171169,-0.5764404,3.5858123,3.0722797,0.8432395,0.8423578,0.5135325,0.0008818,20,-4.5808926,0,-6.190587,0.0277778,0,48.5,2,100
4082,2,2,8.7484779,8.7659998,0.5915222,0.574,43.9000015,43.9000015,850.4691772,-497.3297424,-8.3470449,3.5858123,2.8373001,1.0937128,1.0923932,0.7485123,0.0013196,50,-43.2389908,0,-6.2160172,-0.6388889,0,43.9000015,2,100
4084,2,2,8.7247553,8.7440004,0.6152444,0.596,41.5,41.5,815.3572388,-261.6600037,-3.8689406,3.5858123,2.7187743,1.2272953,1.2259744,0.8670381,0.0013208,50,-25.7345181,0,-6.4181843,-0.3333333,0,41.5,2,100
